Name,mpg,cylinders,horsepower,weight,acceleration,year,origin
1,18,8,130,3504,12,70,1
2,15,8,165,3693,11.5,70,1
3,18,8,150,3436,11,70,1
4,16,8,150,3433,12,70,1
5,17,8,140,3449,10.5,70,1
6,15,8,198,4341,10,70,1
7,14,8,220,4354,9,70,1
8,14,8,215,4312,8.5,70,1
9,14,8,225,4425,10,70,1
10,15,8,190,3850,8.5,70,1
11,,4,115,3090,17.5,70,2
12,,8,165,4142,11.5,70,1
13,,8,153,4034,11,70,1
14,,8,175,4166,10.5,70,1
15,,8,175,3850,11,70,1
16,15,8,170,3563,10,70,1
17,14,8,160,3609,8,70,1
18,,8,140,3353,8,70,1
19,15,8,150,3761,9.5,70,1
20,14,8,225,3086,10,70,1
21,24,4,95,2372,15,70,3
22,22,6,95,2833,15.5,70,1
23,18,6,97,2774,15.5,70,1
24,21,6,85,2587,16,70,1
25,27,4,88,2130,14.5,70,3
26,26,4,46,1835,20.5,70,2
27,25,4,87,2672,17.5,70,2
28,24,4,90,2430,14.5,70,2
29,25,4,95,2375,17.5,70,2
30,26,4,113,2234,12.5,70,2
31,21,6,90,2648,15,70,1
32,10,8,215,4615,14,70,1
33,10,8,200,4376,15,70,1
34,11,8,210,4382,13.5,70,1
35,9,8,193,4732,18.5,70,1
36,27,4,88,2130,14.5,71,3
37,28,4,90,2264,15.5,71,1
38,25,4,95,2228,14,71,3
39,25,4,,2046,19,71,1
40,,4,48,1978,20,71,2
41,19,6,100,2634,13,71,1
42,16,6,105,3439,15.5,71,1
43,17,6,100,3329,15.5,71,1
44,19,6,88,3302,15.5,71,1
45,18,6,100,3288,15.5,71,1
46,14,8,165,4209,12,71,1
47,14,8,175,4464,11.5,71,1
48,14,8,153,4154,13.5,71,1
49,14,8,150,4096,13,71,1
50,12,8,180,4955,11.5,71,1
51,13,8,170,4746,12,71,1
52,13,8,175,5140,12,71,1
53,18,6,110,2962,13.5,71,1
54,22,4,72,2408,19,71,1
55,19,6,100,3282,15,71,1
56,18,6,88,3139,14.5,71,1
57,23,4,86,2220,14,71,1
58,28,4,90,2123,14,71,2
59,30,4,70,2074,19.5,71,2
60,30,4,76,2065,14.5,71,2
61,31,4,65,1773,19,71,3
62,35,4,69,1613,18,71,3
63,27,4,60,1834,19,71,2
64,26,4,70,1955,20.5,71,1
65,24,4,95,2278,15.5,72,3
66,25,4,80,2126,17,72,1
67,23,4,54,2254,23.5,72,2
68,20,4,90,2408,19.5,72,1
69,21,4,86,2226,16.5,72,1
70,13,8,165,4274,12,72,1
71,14,8,175,4385,12,72,1
72,15,8,150,4135,13.5,72,1
73,14,8,153,4129,13,72,1
74,17,8,150,3672,11.5,72,1
75,11,8,208,4633,11,72,1
76,13,8,155,4502,13.5,72,1
77,12,8,160,4456,13.5,72,1
78,13,8,190,4422,12.5,72,1
79,19,3,97,2330,13.5,72,3
80,15,8,150,3892,12.5,72,1
81,13,8,130,4098,14,72,1
82,13,8,140,4294,16,72,1
83,14,8,150,4077,14,72,1
84,18,4,112,2933,14.5,72,2
85,22,4,76,2511,18,72,2
86,21,4,87,2979,19.5,72,2
87,26,4,69,2189,18,72,2
88,22,4,86,2395,16,72,1
89,28,4,92,2288,17,72,3
90,23,4,97,2506,14.5,72,3
91,28,4,80,2164,15,72,1
92,27,4,88,2100,16.5,72,3
93,13,8,175,4100,13,73,1
94,14,8,150,3672,11.5,73,1
95,13,8,145,3988,13,73,1
96,14,8,137,4042,14.5,73,1
97,15,8,150,3777,12.5,73,1
98,12,8,198,4952,11.5,73,1
99,13,8,150,4464,12,73,1
100,13,8,158,4363,13,73,1
101,14,8,150,4237,14.5,73,1
102,13,8,215,4735,11,73,1
103,12,8,225,4951,11,73,1
104,13,8,175,3821,11,73,1
105,18,6,105,3121,16.5,73,1
106,16,6,100,3278,18,73,1
107,18,6,100,2945,16,73,1
108,18,6,88,3021,16.5,73,1
109,23,6,95,2904,16,73,1
110,26,4,46,1950,21,73,2
111,11,8,150,4997,14,73,1
112,12,8,167,4906,12.5,73,1
113,13,8,170,4654,13,73,1
114,12,8,180,4499,12.5,73,1
115,18,6,100,2789,15,73,1
116,20,4,88,2279,19,73,3
117,21,4,72,2401,19.5,73,1
118,22,4,94,2379,16.5,73,3
119,18,3,90,2124,13.5,73,3
120,19,4,85,2310,18.5,73,1
121,21,6,107,2472,14,73,1
122,26,4,90,2265,15.5,73,2
123,15,8,145,4082,13,73,1
124,16,8,230,4278,9.5,73,1
125,29,4,49,1867,19.5,73,2
126,24,4,75,2158,15.5,73,2
127,20,4,91,2582,14,73,2
128,19,4,112,2868,15.5,73,2
129,15,8,150,3399,11,73,1
130,24,4,110,2660,14,73,2
131,20,6,122,2807,13.5,73,3
132,11,8,180,3664,11,73,1
133,20,6,95,3102,16.5,74,1
134,21,6,,2875,17,74,1
135,19,6,100,2901,16,74,1
136,15,6,100,3336,17,74,1
137,31,4,67,1950,19,74,3
138,26,4,80,2451,16.5,74,1
139,32,4,65,1836,21,74,3
140,25,4,75,2542,17,74,1
141,16,6,100,3781,17,74,1
142,16,6,110,3632,18,74,1
143,18,6,105,3613,16.5,74,1
144,16,8,140,4141,14,74,1
145,13,8,150,4699,14.5,74,1
146,14,8,150,4457,13.5,74,1
147,14,8,140,4638,16,74,1
148,14,8,150,4257,15.5,74,1
149,29,4,83,2219,16.5,74,2
150,26,4,67,1963,15.5,74,2
151,26,4,78,2300,14.5,74,2
152,31,4,52,1649,16.5,74,3
153,32,4,61,2003,19,74,3
154,28,4,75,2125,14.5,74,1
155,24,4,75,2108,15.5,74,2
156,26,4,75,2246,14,74,2
157,24,4,97,2489,15,74,3
158,26,4,93,2391,15.5,74,3
159,31,4,67,2000,16,74,2
160,19,6,95,3264,16,75,1
161,18,6,105,3459,16,75,1
162,15,6,72,3432,21,75,1
163,15,6,72,3158,19.5,75,1
164,16,8,170,4668,11.5,75,1
165,15,8,145,4440,14,75,1
166,16,8,150,4498,14.5,75,1
